,Infection0.0,Infection0.02778,Infection0.05556,Infection0.08333,Infection0.11111,Infection0.13889,Infection0.16667,Infection0.19444,Infection0.22222,Infection0.25,Infection0.01786,Infection0.03571,Infection0.05357,Infection0.07143,Infection0.08929,Infection0.10714,Infection0.125,Infection0.14286,Infection0.16071,Infection0.17857,Infection0.19643,Infection0.21429,Infection0.23214
Degradation0.0,,,,,,,,,,,0.14025689242428907,0.15340048105390516,0.11468106882559792,0.20675343250244935,0.17151919253133976,,,,,0.08869232170994171,0.14903101076752445,0.09827200140990344,0.07637488105513698
Degradation0.02778,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.05556,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.08333,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.11111,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.13889,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.16667,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.19444,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.22222,,,,,,,,,,,,,,,,,,,,,,,
Degradation0.25,,,,,,,,,,0.27958979261454686,0.07202590778402529,0.1815238623388027,0.1785117782653416,0.26385969306429247,0.2197581847327021,0.22828372987375964,0.131649208528882,0.16864576114062138,0.1299944839585138,0.2519285193976165,0.12226534761758112,,0.12581857293766094
Degradation0.01786,,,,,,,,,,0.11965835381776918,0.07202590778402529,0.07674952360070383,0.09574666284709457,0.17226323001583904,0.22088393378483984,0.14357552398686937,0.15601272320862014,0.12992674775116708,0.15533851585986552,,0.10633261798251747,0.1230398204616524,
Degradation0.03571,,,,,,,,,,,0.17913320842388988,0.24788628058282608,0.08402085687082816,0.22431057706764285,0.19073298881664721,0.14801558120535407,0.1270883010911142,0.18895467258232526,0.09081507062368421,,0.07202590778402529,0.1657693872599742,
Degradation0.05357,,,,,,,,,,,0.09762467502468257,0.10879522577894016,0.16260069346336864,0.07202590778402529,0.0975245764587471,0.21277315633380328,0.1818484169153016,0.19683894946170416,0.08837800755849967,0.08388997135601388,0.10840479030822085,0.07202590778402529,0.18990665847624244
Degradation0.07143,,,,,,,,,,0.1381174533405195,0.07202590778402529,0.07202590778402529,0.15299355240909396,0.2099157465791376,0.19397413201108776,0.2661930624203546,0.07202590778402529,0.07202590778402529,0.16321036542174355,0.1603252127553007,,0.17530338085038305,
Degradation0.08929,,,,,,,,,,0.07202590778402529,0.07202590778402529,0.07470072511850301,0.07202590778402529,0.2689289162404326,0.07202590778402529,0.20571636868987772,0.07202590778402529,0.15721970264718116,0.07202590778402529,0.09776667182088764,0.10840479030822085,0.1754751943306397,0.22069855503729918
Degradation0.10714,,,,,,,,,,0.15800577355629178,0.19062998658813338,0.16581960037775217,0.1422840267727538,0.17489039721214514,0.10230362161335593,0.3299788363303463,0.15638872761026687,0.09155811538388565,0.09885118443416732,0.07202590778402529,0.22078545298656704,0.12593458758033324,
Degradation0.125,,,,,,,,,,,0.07202590778402529,0.21259188107074067,0.2965879701181032,0.2099157465791376,0.08328967843659586,0.19435175968616986,0.30569839492844997,0.14434720610384583,0.15013104355075652,0.07202590778402529,0.1387660150966104,0.10508182790840245,0.1387660150966104
Degradation0.14286,,,,,,,,,,0.298877872645592,0.07202590778402529,0.07202590778402529,0.08477427967908094,0.1482337757326597,0.2008275040362679,0.1686163862788549,0.18290455776165304,0.11349953013944307,0.09745294130263552,0.1620782452285277,0.09969832175947226,0.17878008458143596,
Degradation0.16071,,,,,,,,,,0.09225508544300219,0.07349385035721646,0.18997144342188987,0.14848843313336232,0.18707070331026054,0.19397413201108776,0.18136123353999842,0.265735235719183,0.24891904864761877,0.15284422621264615,0.07202590778402529,0.09982471249350108,,
Degradation0.17857,,,,,,,,,,,,0.14110662171751745,0.12805665543886155,0.2099157465791376,0.16890866163621368,0.10143938763806262,0.1768359219521953,0.07202590778402529,0.10094034826747234,0.168982155065251,0.15163288377915807,0.11609993590115983,
Degradation0.19643,,,,,,,,,,0.07202590778402529,,0.1598799535134836,0.14250687316397498,0.23831037460227772,0.23301651052662137,0.18847215584052474,0.208586162894082,0.14357552398686937,0.09029956075326014,0.30923920916501046,0.07202590778402529,0.12083391982736644,
Degradation0.21429,,,,,,,,,,,0.5485869202634787,0.1943529396944319,0.3182453395788638,0.2450025430572641,0.23252627934835804,0.19009918534489134,0.07202590778402529,0.09193194824845531,0.24030436847023962,0.11370030198440147,0.17619080617294047,,0.1851586169044117
Degradation0.23214,,,,,,,,,,0.15341854905418217,,0.20265374103770686,0.16630083201648715,0.31663296943378516,0.14729917141716917,0.29176586791948633,0.12434113493453125,0.15888999494059575,0.12880816608481946,0.10023343651663118,0.0813251215948906,0.15473792601548086,0.11498503806813783
